Nombre,,Unidad,Responsable,Categoría,Precio
Barril Amstel,,Caja,Amina,Cerveza,
Barril Buckler,,Caja,Amina,Cerveza,
Barril Radler,,Caja,Amina,Cerveza,
Heineken,,Caja,Amina,Cerveza,
Sacarina,,Caja,Amina,Edulcorante,
Infusión frutos del bosque,,Caja,Amina,Infusión,
Infusión manzanilla,,Caja,Amina,Infusión,
Infusión poleo menta,,Caja,Amina,Infusión,
Infusión té negro,,Caja,Amina,Infusión,
Infusión té negro con canela,,Caja,Amina,Infusión,
Infusión té rojo,,Caja,Amina,Infusión,
Infusión té verde,,Caja,Amina,Infusión,
Infusión tila,,Caja,Amina,Infusión,
Leche Asturiana,,Caja,Amina,Leche,
Disbesa,,,,,
Cuajada ,,Unidad,Aaron,,
Vinagre monodosis,,Caja,Aaron,,
Sal monodosis,,Caja,Aaron,,
Queso Provolone,,Unidad,Aaron,,
Distr. La Mancha,,,,,
Abrillantador,,Caja,Jhoan,,
Lavavajillas,,Caja,Jhoan,,
Servilletas mini tissue,,Caja,Jhoan,,
Limpiaplanchas,,Unidad,Jhoan,,
Limpiasuelos,,Unidad,Jhoan,,
Hielo,,,,,
Hielo cubitos,,Saco,Jose,,
Hielo pilé,,Saco,Jose,,
Hnos. Maqueda,,,,,
Alitas,,Caja,Flor,,
Contramuslos de pollo,,Kilo,Flor,,
Pechuga pollo cachopo,,Caja,Flor,,
Pechuga pollo fileteada,,Kilo,Flor,,
Huevos,,,,,
Huevos,,Caja,Jazmín,,
Goya,,,,,
Frijoles pequeño rojo,,Caja,Aaron,,
Jalapeños lata grande,,Latas,Aaron,,
Picante Nativo,,Unidad,Aaron,,
Tortillas de harina ,,Caja,Aaron,,
Vainilla,,Unidad,Aaron,,
Inde,,,,,
Bowl de cristal grande,,Unidad,Aaron,Menaje,
Bowl desayunos,,Unidad,Aaron,Menaje,
Copa balon VB22299,,Caja,Jhoan,Cristalería,
Cuchillos grandes,,Unidad,Aaron,Utensilios,
Espátula,,Unidad,Aaron,Utensilios,
Jarras cerveza Sintra,,Caja,Jhoan,Cristalería,
Molde tarta alto,,Unidad,Aaron,Menaje,
Plato barrita,,Caja,Aaron,Menaje,
Platos combinados,,Caja,Aaron,Menaje,
Platos hamburguesas,,Caja,Aaron,Menaje,
Platos medias raciones,,Caja,Aaron,Menaje,
Platos tapa,,Caja,Aaron,Menaje,
Vaso medidor cristal ,,Unidad,Aaron,Utensilios,
Vaso refresco ikea,,Caja,Jhoan,Cristalería,
Vasos Cola-Cao ARA233,,Caja,Jhoan,Cristalería,
Vasos sidra,,Caja,Jhoan,Cristalería,
Makro,,,,,
Palitos café pequeños,,Bolsa,Amina,Utensilios,
Tapas café 20cl,,Caja,Amina,Utensilios,
Tapas café 10cl,,Caja,Amina,Utensilios,
Trapos secar cubiertos ,,Paquete,Amina,Utensilios,
Vasos café llevar 10 cl,,Caja,Amina,Utensilios,
Vasos café llevar 20cl ,,Caja,Amina,Utensilios,
Vasos café llevar 30 cl ,,Caja,Amina,Utensilios,
Cinta lomo ,,Unidad,Jazmín,Carnes,
Crepes,,Paquete,Jazmín,Repostería,
Nata agria,,Unidad,Jazmín,Lácteos,
Queso cheddar Aro,,Caja,Jazmín,Queso,
Queso crema grande,,Unidad,Jazmín,Queso,
Queso feta Dodoni barra,,Unidad,Jazmín,Queso,
Queso Gouda,,Unidad,Jazmín,Queso,
Queso mix,,Unidad,Jazmín,Queso,
Queso mozzarella ( barra),,Unidad,Jazmín,Queso,
Salchichas cocktail,,Bolsa,Jazmín,Carnes,
Tofu,,Unidad,Jazmín,Verdura,
Ajo granulado,,Bote,Aaron,Especias,
Albahaca,,Bote,Aaron,Especias,
Atún migas,,Unidad ,Aaron,Conservas,
Azúcar glass,,Paquete,Aaron,Repostería,
Azúcar moreno,,Paquete,Aaron,Repostería,
Brillo en frío,,Cubo,Aaron,Repostería,
Cacao en polvo,,Bote,Aaron,Repostería,
Canela,,Bote,Aaron,Especias,
Cayena,,Bote,Aaron,Especias,
Chocolate pepitas,,Paquete,Aaron,Repostería,
Comino en grano,,Bote,Aaron,Especias,
Dosificador grande ketchup/mayonesa         ,,Unidad,Aaron,Utensilios,
Granillo chocolate ,,Paquete,Aaron,Repostería,
Harina arepas,,Unidad,Aaron,Harina,
Harina fritos y rebozados,,Unidad,Aaron,Harina,
Harina repostería,,Unidad,Aaron,Harina,
Ketchup,,Unidad,Aaron,Salsas,
Lenguas pequeñas ,,Unidad ,Aaron,Utensilios,
Limón exprimido,,Unidad,Aaron,Aliños,
Maíz dulce,,Unidad,Aaron,Conservas,
Mangas pastelera desechables 40 cm,,Paquete,Aaron,Utensilios,
Mayonesa,,Unidad,Aaron,Salsas,
Mermelada arándanos,,Bote,Aaron,Mermelada,
Molde tarta desmontable 28cm,,Unidad,Aaron,Utensilios,
Mostaza biberón,,Bote,Aaron,Salsas,
Orégano,,Bolsa,Aaron,Especias,
Pan Brioche molde,,Unidad,Aaron,Panadería,
Pan perrito XXL,,Paquete,Aaron,Panadería,
Pan pueblo,,Unidad,Aaron,Panadería,
Pan rallado,,Paquete,Aaron,Panadería,
Papel aluminio largos,,Unidad,Aaron,Utensilios,
Papel horno,,Unidad,Aaron,Utensilios,
Perejil,,Bote,Aaron,Especias,
Picador de huevos ,,Unidad ,Aaron,Utensilios,
Picatostes ajo-perejil Rialto,,Paquete,Aaron,Panadería,
Pimentón de la Vera 1kg,,Bolsa,Aaron,Especias,
Pimienta molida negra ,,Bote,Aaron,Especias,
Remolacha rayada,,Unidad ,Aaron,Conservas,
Salsa barbacoa Coosur,,Bote,Aaron,Salsas,
Salsa brava Coosur,,Bote,Aaron,Salsas,
Salsa César ,,Unidad,Aaron,Salsas,
Salsa Kebab ,,Bote,Aaron,Salsas,
Salsa queso,,Unidad,Aaron,Salsas,
Sirope caramelo,,Unidad,Aaron,Repostería,
Sirope chocolate,,Unidad,Aaron,Repostería,
Sirope fresa,,Unidad,Aaron,Repostería,
Vinagre,,Garrafa,Aaron,Aliños,
Copas de vino Stark (35cl),,Caja,Jhoan,Utensilios,
Vino Delecto Ribera roble,,Botella,Jose,Vino,
Vino Montelciego rioja reserva,,Botella,Jose,Vino,
Vino puente de lago  rioja ,,Botella,Jose,Vino,
Vino Ribera crianza Delecto,,Botella,Jose,Vino,
Vino Ribera roble Delecto,,Botella,Jose,Vino,
Vino Rueda SR,,Botella ,Jose,Vino,
Mercadona,,,,,
Rabanitos,,Bolsa,Jazmín,Fruta,
Guisantes ,,Bote,Jazmín,Conservas,
Plátanos,,Kilos,Jazmín,Fruta,
Yogur griego (litro),,Unidad,Jazmín,Lácteos,
Yogur natural (6 ud) pequeño ,,Paquete,Jazmín,Lácteos,
Tortillas de maíz para tacos ,,Paquete,Jazmín,Panadería,
Queso azul,,Unidad,Jazmín,Quesos,
Queso crema light,,Unidad,Jazmín,Quesos,
Queso parmigiano,,Unidad,Jazmín,Quesos,
Chocolate fundir con leche,,Unidad,Jazmín,Repostería,
Chocolate fundir negro,,Unidad,Jazmín,Repostería,
Guacamole,,Unidad,Jazmín,Salsas,
Helado barra Nata choco,,Barra,Flor,Congelado,
Fresas congeladas ,,Bolsa,Flor,Congelado,
Arroz largo,,Kilo,Aaron,Arroz,
Pimiento piquillo,,Brick,Aaron,Conservas,
Piña en agua,,Bote,Aaron,Conservas,
Nata cocinar 500gr,,Brick,Aaron,Lácteos,
Nachos,,Caja,Aaron,Snacks,
Patatas paja,,Bolsa,Aaron,Snacks,
Mercamadrid,,,,,
Aguacates,,Caja,Jazmín,Fruta,
Ajos,,kilos,Jazmín,Verdura,
Albahaca ,,Manojo,Jazmín,Hierbas,
Almendra picada,,Bolsa,Aaron,FrutosSecos,
Arándanos,,Caja,Jazmín,Fruta,
Brócoli,,Caja,Jazmín,Verdura,
Canónigos (100 gr),,Unidad ,Jazmín,Verdura,
Cebolla morada,,Saco,Aaron,Verdura,
Cebollas 25 kilos,,Saco,Aaron,Verdura,
Cebollino ,,Bolsa,Jazmín,Hierbas,
Chuleta de aguja ,,Pieza,Jazmín,Carnes,
Cilantro,,Manojo,Jazmín,Hierbas,
Espinacas baby,,Paquete,Jazmín,Verdura,
Granola cereales y semillas,,Bolsa,Aaron,FrutosSecos,
Hierbabuena,,Bolsa,Amina,Hierbas,
Jamón fresco deshuesado,,Pieza,Jazmín,Carnes,
Jamón Serrano fileteado ,,Caja ,Jazmín,Carnes,
Kiwis,,Caja,Jazmín,Fruta,
Lechuga iceberg,,Caja,Jazmín,Verdura,
Limas,,Caja,Amina,Fruta,
Limones,,Caja,Jazmín,Fruta,
Mango,,Caja,Jazmín,Fruta,
Manzanas Golden,,Caja,Jazmín,Fruta,
Naranjas,,Caja,Amina,Fruta,
Nueces 1 kg,,Bolsa,Aaron,FrutosSecos,
Panceta deshuesada,,Pieza,Jazmín,Carnes,
Patatas 25 kg,,Saco,Aaron,Verdura,
Pepinos,,Saco,Jazmín,Verdura,
Picadillo de chorizo,,Unidad,Jazmín,Carnes,
Pimiento rojo,,Saco,Jazmín,Verdura,
Pimiento verde,,Saco,Jazmín,Verdura,
Pipas de calabaza,,Bolsa,Aaron,FrutosSecos,
Plátano Macho verde,,Caja,Jazmín,Fruta,
Remolacha,,Caja,Jazmín,Verdura,
Repollo,,Caja,Jazmín,Verdura,
Rúcula (100 gr),,Unidad ,Jazmín,Verdura,
Salmón ahumado,,Paquete,Flor,Pescado,
Solomillo,,Unidad,Jazmín,Carnes,
Tomate cherry,,Caja,Jazmín,Verdura,
Tomate ensalada,,Caja,Jazmín,Verdura,
Tomate triturar ,,Caja,Jazmín,Verdura,
Zanahoria ,,Bolsa,Jazmín,Verdura,
Mojitos,,,,,
Mojito clásico (8),,Botella,Jose,,
Mojito coco-loco (2),,Botella,Jose,,
Mojito fresa (3),,Botella,Jose,,
Mojito mango (4),,Botella,Jose,,
Mojito maracuyá (3),,Botella,Jose,,
Norteños,,,,,
Carne picada vaca,,Kilos,Jazmín,,
Hamburguesa Res madura,,Paquete,Jazmín,,
Hamburguesa  vegana ,,Paquete,Jazmín,,
Pan el mimbre,,,,,
Pan camperos,,Caja,Flor,,
Pascual,,,,,
Cola Cao,,Paquete,Amina,Cacao,
Nescafé,,Paquete,Amina,Café,
Mantequilla monodosis,,Bote,Jazmín,Lácteos,
Mantequilla bloque 5kg,,Bote,Jazmín,Lácteos,
Levadura Royal,,Bote,Jazmín,Levadura,
Mermelada fresa,,Caja,Amina,Mermelada,
Mermelada melocotón,,Caja,Amina,Mermelada,
Queso cabra,,Bote,Jazmín,Queso,
Ketchup monodosis,,Caja,Jazmín,Salsas,
Mayonesas monodosis,,Caja,Jazmín,Salsas,
Reyes magos,,,,,
Antioqueño sin azúcar litro,,Botellas,Jose,Aguardiente,
Cachaça,,Botellas,Jose,Aguardiente,
Espléndido,,Botellas,Jose,Brandy,
Magno,,Botellas,Jose,Brandy,
Soberano,,Botellas,Jose,Brandy,
Terry,,Botellas,Jose,Brandy,
Veterano,,Botellas,Jose,Brandy,
103,,Botellas,Jose,Brandy,
Cava,,Botellas,Jose,Cava,
1906 red,,Cajas,Jose,Cerveza,
Alhambra 1925,,Cajas,Jose,Cerveza,
Budweiser,,Cajas,Jose,Cerveza,
Coronita,,Cajas,Jose,Cerveza,
Desperados,,Cajas,Jose,Cerveza,
Paulaner,,Cajas,Jose,Cerveza,
Beefeater litro,,Botellas,Jose,Ginebra,
Bombay Sapphire,,Botellas,Jose,Ginebra,
Bulldog litro,,Botellas,Jose,Ginebra,
Citadelle,,Botellas,Jose,Ginebra,
Larios litro,,Botellas,Jose,Ginebra,
Martin Miller´s,,Botellas,Jose,Ginebra,
Nordes,,Botellas,Jose,Ginebra,
Puerto de Indias litro,,Botellas,Jose,Ginebra,
Seagrams,,Botellas,Jose,Ginebra,
Tanqueray,,Botellas,Jose,Ginebra,
Baileys litro,,Botellas,Jose,Licor,
Castellana,,Botellas,Jose,Licor,
Chinchón Ariete dulce,,Botellas,Jose,Licor,
Curazao ,,Unidad,Jose,Licor,
Fireball litro,,Botellas,Jose,Licor,
Granadina,,Botellas,Jose,Licor,
Granpecher,,Botellas,Jose,Licor,
Granpomier,,Botellas,Jose,Licor,
Jagermeister litro,,Botellas,Jose,Licor,
limoncelo,,Botellas,Jose,Licor,
Marie Brizard Triple seco,,Botellas,Jose,Licor,
Pacharán Zoco litro,,Botellas,Jose,Licor,
Ponche Caballero,,Cajas,Jose,Licor,
Rives sin manzana,,Cajas,Jose,Licor,
Rives sin melocotón,,Botellas,Jose,Licor,
Ruavieja crema,,Botellas,Jose,Licor,
Ruavieja hierbas,,Botellas,Jose,Licor,
Ruavieja orujo,,Botellas,Jose,Licor,
Mosto,,Cajas,Jose,Mosto,
Red bull,,Caja,Amina,Energético,
Bacardi litro,,Botellas,Jose,Ron,
Barceló litro,,Botellas,Jose,Ron,
Brugal litro,,Botellas,Jose,Ron,
Cacique litro,,Botellas,Jose,Ron,
Havana Club 7,,Botellas,Jose,Ron,
Legendario,,Botellas,Jose,Ron,
Malibú litro,,Botellas,Jose,Ron,
Ron negrita,,Botellas,Jose,Ron,
Santa Teresa,,Botellas,Jose,Ron,
Sidra,,Botellas,Jose,Sidra,
José Cuervo litro,,Botellas,Jose,Tequila,
Martini blanco litro,,Botellas,Jose,Vermut,
Martini rojo,,Botellas,Jose,Vermut,
Vino Alma,,Botellas,Jose,Vino,
Vino el novio perfecto,,Botellas,Jose,Vino,
Vino Rueda,,Botellas,Jose,Vino,
Absolut litro,,Botellas,Jose,Vodka,
Eristoff litro,,Botellas,Jose,Vodka,
Ballantines,,Botellas,Jose,Whisky,
Chivas litro,,Botellas,Jose,Whisky,
DyC litro,,Botellas,Jose,Whisky,
J&B litro,,Botellas,Jose,Whisky,
Jack Daniel´s litro,,Botellas,Jose,Whisky,
Johnnie black litro,,Botellas,Jose,Whisky,
Johnnie red litro,,Botellas,Jose,Whisky,
Passport litro,,Botellas,Jose,Whisky,
Zumo melocotón,,Cajas,Jose,Zumo,
Zumo piña,,Cajas,Jose,Zumo,
Sabormex,,,,,
Tequeños de queso ,,Caja,Jazmín,Congelado,
Pepinillos agridulces,,Lata,Jazmín,Conservas,
Tortilla trigo 15 centímetros ,,Cajas,Jazmín,Panadería,
Pulpa fresa,,Kilo,Jazmín,Pulpa,
Pulpa guanábana,,Kilo,Jazmín,Pulpa,
Pulpa Guayaba,,Caja,Jazmín,Pulpa,
Pulpa mango,,Caja,Jazmín,Pulpa,
Pulpa maracuyá,,Caja,Jazmín,Pulpa,
Pulpa mora,,Caja,Jazmín,Pulpa,
Pulpa papaya,,Caja,Jazmín,Pulpa,
Pulpa piña,,Caja,Jazmín,Pulpa,
Queso Cheddar lonchas,,Kilo,Jazmín,Queso,
Queso Gouda,,Kilo,Jazmín,Queso,
Gofres,,Caja,Jazmín,Repostería,
Salsa Worcestershire,,Unidad,Jazmín,Salsa,
Supeco,,,,,
Arroz redondo,,Bolsa,Aaron,,
Azúcar,,Kilo,Aaron,,
Colorante alimentario,,Unidad,Aaron,,
Espirales (5kg),,Unidad,Aaron,,
Galletas rectangulares,,Bolsa,Aaron,,
Gaseosa limón la revoltosa 2 l,,Unidad,Amina,,
Hamburguesa pollo,,Barra,Flor,,
Sal,,Caja,Aaron,,
Tequebox,,,,,
Tequeños rellenos queso,,Caja,Flor,,
Vecino,,,,,
Caldo de pollo,,Caja,Aaron,Caldo,
Mahou lata,,Caja,Amina,Cerveza,
Mixta (12ud.),,Caja,Amina,Cerveza,
Salitos blue,,Caja,Amina,Cerveza,
Salitos pink,,Caja,Amina,Cerveza,
Aceitunas ,,Caja,Amina,Conservas,
Galletas mini Oreo ,,Paquete,Aaron,Galletas,
Galletas Oreo,,Paquete ,Aaron,Galletas,
Maicena ,,Paquete,Aaron,Harina,
Tinto de verano limón,,Paquete,Amina,Mix,
"Aquarius limón 1,5L",,Paquete,Amina,Refresco,
"Aquarius naranja 1,5",,Paquete,Amina,Refresco,
Bitter Kas,,Caja,Amina,Refresco,
Coca Cola 2L,,Paquete,Amina,Refresco,
Fanta limón  2L,,Paquete,Amina,Refresco,
La casera Gaseosa,,Paquete,Amina,Refresco,
"Nestea Maracuyá 1,5L",,Caja,Amina,Refresco,
"Nestea 1,5L",,Paquete,Amina,Refresco,
Nestea lata,,Caja,Amina,Refresco,
Schweppess tónica,,Caja,Amina,Refresco,
